City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
khatanga,88,RU,1527204156,100,71.98,102.47,33.0,8.97
kavieng,12,PG,1527204156,100,-2.57,150.8,85.38,4.61
hithadhoo,32,MV,1527204585,100,-0.6,73.08,83.85,10.2
east haddam,90,US,1527203700,100,41.45,-72.46,78.8,9.17
qaanaaq,92,GL,1527204233,100,77.48,-69.36,26.16,3.04
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
bambous virieux,75,MU,1527202800,88,-20.34,57.76,73.4,16.11
dikson,80,RU,1527204300,100,73.51,80.55,27.87,10.76
yar-sale,80,RU,1527204380,91,66.83,70.83,23.37,32.01
barrow,1,US,1527202500,40,39.51,-90.4,87.8,4.7
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
tommot,88,RU,1527204649,83,58.97,126.27,52.26,4.38
ocean city,20,US,1527202920,74,30.44,-86.61,86.0,9.17
huambo,0,AO,1527204649,80,-12.78,15.73,47.04,2.37
longyearbyen,75,SJ,1527202200,80,78.22,15.64,35.6,19.46
gizo,44,SB,1527204650,100,-8.1,156.84,83.31,7.96
evensk,76,RU,1527204578,97,61.92,159.24,37.86,3.83
manokwari,36,ID,1527204650,100,-0.87,134.08,82.41,5.95
mount gambier,0,AU,1527204530,91,-37.83,140.78,50.01,3.15
chapais,90,CA,1527201120,50,49.78,-74.86,57.2,3.36
punta arenas,75,CL,1527202800,93,-53.16,-70.91,42.8,4.7
strezhevoy,0,RU,1527201000,86,60.73,77.6,33.8,6.71
ribeira grande,12,PT,1527204584,100,38.52,-28.7,65.31,7.74
shelburne,40,CA,1527199200,32,44.08,-80.2,82.4,13.87
bethel,90,US,1527198780,87,60.79,-161.76,46.4,9.17
puerto ayora,20,EC,1527202800,74,-0.74,-90.35,78.8,18.34
agde,32,FR,1527202800,93,43.31,3.47,60.8,4.7
talcahuano,0,CL,1527202800,87,-36.72,-73.12,51.8,3.36
collie,92,AU,1527204652,100,-33.36,116.15,51.18,15.23
east london,92,ZA,1527204131,100,-33.02,27.91,66.12,12.66
umea,0,SE,1527202200,81,63.83,20.26,46.4,3.36
atuona,12,PF,1527204297,100,-9.8,-139.03,81.15,16.69
yellowknife,75,CA,1527199200,50,62.45,-114.38,57.2,14.99
kaitangata,92,NZ,1527204231,97,-46.28,169.85,44.52,10.09
ivankiv,48,UA,1527201000,88,50.93,29.9,62.6,2.24
victoria,88,SC,1527199200,88,-4.62,55.45,80.6,8.05
tuktoyaktuk,90,CA,1527199200,86,69.44,-133.03,30.2,23.04
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
dingtao,92,CN,1527204653,98,35.07,115.56,66.21,7.4
jamestown,100,SH,1527204085,100,-15.94,-5.72,71.25,12.66
puerto escondido,20,MX,1527201660,74,15.86,-97.07,87.8,8.52
tuktoyaktuk,90,CA,1527199200,86,69.44,-133.03,30.2,23.04
vanavara,12,RU,1527204654,68,60.35,102.28,43.98,3.71
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
vestmannaeyjar,92,IS,1527204093,90,63.44,-20.27,43.53,15.23
new norfolk,40,AU,1527202800,80,-42.78,147.06,41.0,8.05
dunda,0,TZ,1527204655,88,-8.12,34.25,57.48,5.17
east london,92,ZA,1527204131,100,-33.02,27.91,66.12,12.66
aklavik,90,CA,1527199200,74,68.22,-135.01,44.6,10.29
sfantu gheorghe,0,RO,1527202800,67,44.65,26.83,64.4,5.82
upernavik,44,GL,1527204716,99,72.79,-56.15,26.07,3.94
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
hermanus,76,ZA,1527204083,100,-34.42,19.24,52.17,3.71
bosaso,24,SO,1527204717,87,11.28,49.18,87.27,0.58
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
hermanus,76,ZA,1527204083,100,-34.42,19.24,52.17,3.71
mar del plata,0,AR,1527204084,60,-46.43,-67.52,59.91,16.02
mahebourg,75,MU,1527199200,88,-20.41,57.7,71.6,11.41
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
aksarka,68,RU,1527204718,87,66.56,67.8,22.56,18.7
sulangan,56,PH,1527204718,100,11.14,123.72,84.3,9.19
bud,0,NO,1527202200,93,62.91,6.91,50.0,3.36
saint-philippe,40,RE,1527201000,60,-21.36,55.77,73.4,11.41
bluff,92,NZ,1527204162,100,-46.6,168.33,49.11,19.82
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
hobart,40,AU,1527202800,80,-42.88,147.33,41.0,8.05
khatanga,88,RU,1527204156,100,71.98,102.47,33.0,8.97
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
dikson,80,RU,1527204300,100,73.51,80.55,27.87,10.76
tuktoyaktuk,90,CA,1527199200,86,69.44,-133.03,30.2,23.04
east london,92,ZA,1527204131,100,-33.02,27.91,66.12,12.66
poum,92,NC,1527204719,100,-20.23,164.02,75.3,11.99
barrow,1,US,1527202500,40,39.51,-90.4,87.8,4.7
severo-kurilsk,92,RU,1527204108,98,50.68,156.12,37.5,6.51
ushuaia,40,AR,1527202800,80,-54.81,-68.31,41.0,11.41
albany,8,AU,1527204160,80,-35.02,117.88,57.21,20.71
iqaluit,90,CA,1527199200,63,63.75,-68.52,26.6,4.7
souillac,75,MU,1527202800,88,-20.52,57.52,73.4,16.11
bemidji,40,US,1527203700,48,47.48,-94.89,87.8,11.41
nouakchott,0,MR,1527204721,95,18.08,-15.98,68.28,21.27
vao,68,NC,1527204580,100,-22.67,167.48,71.61,19.15
busselton,92,AU,1527204083,100,-33.64,115.35,59.28,27.54
butaritari,92,KI,1527204226,100,3.07,172.79,83.85,13.44
iqaluit,90,CA,1527199200,63,63.75,-68.52,26.6,4.7
rikitea,88,PF,1527204086,100,-23.12,-134.97,75.03,10.54
georgetown,68,SH,1527204158,100,-7.93,-14.42,79.8,13.22
tiksi,48,RU,1527204228,100,71.64,128.87,33.63,3.71
khatanga,88,RU,1527204156,100,71.98,102.47,33.0,8.97
new norfolk,40,AU,1527202800,80,-42.78,147.06,41.0,8.05
macau,80,BR,1527204722,59,-5.11,-36.64,81.96,9.53
port alfred,92,ZA,1527204084,100,-33.59,26.89,62.52,11.1
caravelas,8,BR,1527204722,100,-17.73,-39.27,77.01,15.9
barrow,1,US,1527202500,40,39.51,-90.4,87.8,4.7
longyearbyen,75,SJ,1527202200,80,78.22,15.64,35.6,19.46
zhigansk,36,RU,1527204723,63,66.77,123.37,55.32,4.72
